Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Сила Урала,,Питьевая вода,,,450077,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,8,89279305005,,,,,,https://wa.me/79279305005,,,54.732001,55.959416,https://2gis.com/firm/70000001083960066,branch
Красноусольская,пункт выдачи воды,Питьевая вода,"Российская, 94/4",,450098,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,9,89625405700,,http://красноусольскаяпремиум.рф,,,,,,,54.77111,56.028911,https://2gis.com/firm/70000001045268849,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Комсомольская, 96в",,450037,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,5,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.749488,56.003656,https://2gis.com/firm/70000001047717361,branch
Серебряный ручей,водомат,Питьевая вода,"Мубарякова, 3",,450092,Белореченский м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,,,,,,,,,,54.699354,55.99671,https://2gis.com/firm/70000001044892145,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Братьев Кадомцевых, 1 киоск",,450059,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,9,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.752111,55.989521,https://2gis.com/firm/70000001037610712,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Маршала Жукова, 5/2Б",,450100,Сипайлово м-н,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.6,6,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.766463,56.049984,https://2gis.com/firm/70000001053767586,branch
Чистая вода,водомат,Питьевая вода,"бульвар Хадии Давлетшиной, 11Б",,450097,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,5,89371557774 (единый номер: пн-вс 9:00-21:00 ),,http://водаудома.рф,,,https://vk.com/club150356557,https://wa.me/79371557774,,,54.735776,55.993057,https://2gis.com/firm/70000001055561438,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Высотная, 14/1 киоск",,450103,Юрюзань м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.5,9,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.703769,55.982231,https://2gis.com/firm/70000001045915657,branch
Табынские святые ключи,водомат,Питьевая вода,"Белякова, 25в",,450091,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.4,4,,,,,,,,,,54.745599,55.955958,https://2gis.com/firm/70000001060392479,branch
Красноусольская премиум,,Питьевая вода,"Менделеева, 122/2а",,450106,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.2,2,"89177700180 (горячая линия: пн-пт 9:00-18:00; сб, вс 10:00-17:00)",83472163307 (служба доставки: пн-пт 8:30-20:00),http://красноусольскаяпремиум.рф,,,https://vk.com/zhvoda_ufa,,,,54.710375,55.991131,https://2gis.com/firm/70000001064775772,branch
Красная горкa,водомат,Питьевая вода,"Революционная, 78/1",,450005,Айский м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.1,2,89373416177 (единый номер: пн-вс 8:00-21:00),,http://ufa.zakazvoda.com,,,https://vk.com/vodakrasnayagorka,,,,54.732126,55.973975,https://2gis.com/firm/70000001044010537,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Российская, 106а",,450098,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,5,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.768962,56.026592,https://2gis.com/firm/70000001059865942,branch
Живая вода,водомат,Питьевая вода,"Энтузиастов, 14",,450096,Планета м-н,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89191468189 (техническая поддержка),,,,,,,,,54.756446,56.027372,https://2gis.com/firm/70000001097461245,branch
Сила Урала,,Питьевая вода,"Степана Злобина, 5/7",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,89279305005,,,,,,https://wa.me/79279305005,,,54.720049,55.993814,https://2gis.com/firm/70000001093455852,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Природная, 20 к1",,450007,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,4,89272366645,89273096486,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.780765,55.962337,https://2gis.com/firm/70000001056245808,branch
Красноусольская премиум,,Питьевая вода,"Коммунистическая, 78а",,450077,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.7,9,"89177700180 (горячая линия: пн-пт 9:00-18:00; сб, вс 10:00-17:00)",83472163307 (служба доставки: пн-пт 8:30-20:00),http://красноусольскаяпремиум.рф,,,https://vk.com/zhvoda_ufa,,,,54.724642,55.955103,https://2gis.com/firm/70000001047841895,branch
Живая вода,водомат,Питьевая вода,"проспект Октября, 49",,450058,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89191468189 (техническая поддержка),,,,,,,,,54.755012,56.002133,https://2gis.com/firm/70000001094474724,branch
Vodorobot,,Питьевая вода,"Кирова, 101",1 этаж,450078,Утренний м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,14,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.72675,55.981784,https://2gis.com/firm/70000001044008260,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,,,450005,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.733427,55.967791,https://2gis.com/firm/70000001094242872,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Рихарда Зорге, 63/5",,450075,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,83472232170,89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.76927,56.011255,https://2gis.com/firm/70000001090545179,branch
Сила Урала,,Питьевая вода,"Геологов, 53а",,450062,Кузнецовский затон м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,1,89603933332,,,,,,https://wa.me/79279305005,,,54.685035,55.985049,https://2gis.com/firm/70000001061265306,branch
Vodorobot,,Питьевая вода,"Гафури, 4",1 этаж; Магазин Пятерочка,450093,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.723358,55.927824,https://2gis.com/firm/70000001091618270,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Зайнаб Биишевой, 7а",,450062,Южный м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,5,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.693193,55.985829,https://2gis.com/firm/70000001040213449,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Революционная, 129",,450005,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.733519,55.967816,https://2gis.com/firm/70000001052113063,branch
Живая вода,водомат,Питьевая вода,"Степана Кувыкина, 5",,450103,Урал м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.3,2,89373003764 (единая справочная: круглосуточно),,,,,,,,,54.699514,55.993832,https://2gis.com/firm/70000001043802759,branch
Живая вода,водомат,Питьевая вода,"Кирова, 5",,450052,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,6,89373003764 (единая справочная: круглосуточно),,,,,,,,,54.73235,55.947861,https://2gis.com/firm/70000001061134385,branch
Живая вода,водомат,Питьевая вода,"Аксакова, 81/1",1 этаж; справа от магазина Everyday,450052,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,28,89874816755,,http://alivewater.ru/,http://alivewater.ru,http://t.me/alivewater,https://vk.com/alivewater_ru,https://wa.me/79874816755,,https://youtube.com/@-..313,54.731762,55.935794,https://2gis.com/firm/70000001052277168,branch
Урал-аква,водомат,Питьевая вода,"Достоевского, 135 к5",,450005,Айский м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.0,6,89378577727,,,,,,,,,54.730317,55.972269,https://2gis.com/firm/70000001061972971,branch
Живая вода,водомат,Питьевая вода,"8 Марта, 19",1 этаж,450001,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89191468189 (техническая поддержка),,,,,,,,,54.73708,55.988153,https://2gis.com/firm/70000001058720893,branch
Живая вода,водомат,Питьевая вода,"Бессонова, 21",1 этаж,450097,Северный-Посадский м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89191468189 (техническая поддержка),,http://alivewater.ru,,,,,,,54.740022,55.995031,https://2gis.com/firm/70000001068070696,branch
Водомир,водомат,Питьевая вода,"Рихарда Зорге, 43/1",,450083,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89272360157,,http://vodomir.su,,,,,,,54.76158,55.995305,https://2gis.com/firm/70000001094996867,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Софьи Перовской, 42/2 к1",,450062,Южный м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,12,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.697425,55.984254,https://2gis.com/firm/70000001040213432,branch
Красноусольская премиум,,Питьевая вода,,,450006,Айгуль м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.4,8,"89177700180 (горячая линия: пн-пт 9:00-18:00; сб, вс 10:00-17:00)",83472163307 (служба доставки: пн-пт 8:30-20:00),http://красноусольскаяпремиум.рф,,,https://vk.com/zhvoda_ufa,,,,54.744452,55.954336,https://2gis.com/firm/70000001060331475,branch
Vodorobot,,Питьевая вода,"Бессонова, 26а",,450097,Молодёжный м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.0,3,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.738481,55.997979,https://2gis.com/firm/70000001080358525,branch
Живая вода,водомат,Питьевая вода,"Кавказская, 24",,450103,Юрюзань м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,2,89991334354,,,,,,,,,54.708155,55.978807,https://2gis.com/firm/70000001092875934,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Рихарда Зорге, 4а/1",,450059,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,3,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.746994,55.982933,https://2gis.com/firm/70000001053094660,branch
Vodorobot,,Питьевая вода,"Софьи Перовской, 15/3",,450103,Урал м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.0,2,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.698688,55.988875,https://2gis.com/firm/70000001067252609,branch
Красноусольская премиум,,Питьевая вода,"Бакалинская, 25/1",,450047,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.8,6,"89177700180 (горячая линия: пн-пт 9:00-18:00; сб, вс 10:00-17:00)",83472163307 (служба доставки: пн-пт 8:30-20:00),http://красноусольскаяпремиум.рф,,,https://vk.com/zhvoda_ufa,,,,54.718092,55.986624,https://2gis.com/firm/70000001056771392,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Испытателей, 2/2",,450062,Кузнецовский затон м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,9,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.688811,55.985132,https://2gis.com/firm/70000001045954325,branch
Vodorobot,,Питьевая вода,"Загира Исмагилова, 14",,450062,Южный м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.7,3,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.698098,55.982804,https://2gis.com/firm/70000001053165419,branch
Vodorobot,,Питьевая вода,"Революционная, 70/1",1 этаж,450005,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,2,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.7327,55.969473,https://2gis.com/firm/70000001067222041,branch
Водомир,водомат,Питьевая вода,"проспект Октября, 43/5",,450058,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.8,4,83472660657,,http://vodomir.su,,,,,,,54.75493,55.997884,https://2gis.com/firm/70000001031560627,branch
Водомат,,Питьевая вода,"Менделеева, 112",1 подъезд,450106,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.0,4,89869698148,,,,,,,,,54.710596,55.990864,https://2gis.com/firm/70000001045702821,branch
